Journal,Started,ISSN,URL,Type,SSCI,REC,h5,IF,R2013,OP2P,DOAJ_LINK,2014_h5,NOTES
International Journal of Multimedia Technology (IJMT),,2226-7875,http://www.vkingpub.com/Journal/IJMT/,Open,--,,,,57,,http://doaj.org/toc/2226-7875,,
International Journal of Online Pedagogy and Course Design,2011,2155-6873,http://www.igi-global.com/journal/international-journal-online-pedagogy-course/1183,Sub.,--,,,,x,,,,
International Journal of Teaching and Learning in Higher Education,2005,1812-9129,http://www.isetl.org/ijtlhe/,Sub.,--,,,,x,,,,
International Journal of Technology and Design Education,1989,0957-7572,http://www.springer.com/education/journal/10798,Sub.,Yes,,18,0.902,x,,,,
International Journal of Technology Enhanced Learning,2008,1753-5255,http://www.inderscience.com/ijtel,Sub.,--,,,,x,,,,
International Journal of Technology in Teaching and Learning,2005,1551-2576,http://www.sicet.org/journals/ijttl/ijttl.html,Sub.,--,,,,x,,,,
International Journal of Web-based Learning and Teaching Technologies,2006,1548-1107,http://www.igi-global.com/journal/international-journal-web-based-learning/1081,Sub.,--,,,,x,,,,
International Journal on Semantic Web and Information Systems,2005,1552-6283,http://www.ijswis.org,Sub.,Yes,,-,2.092,x,,,,
International Research in Education (IRE),,2327-5499,http://ire.macrothink.org/,Open,--,,,,22,,http://doaj.org/toc/2327-5499,,
International Review of Research in Open and Distance Learning (IRRODL),2000,1492-3831,http://www.irrodl.org/,Open,Yes,Yes,36,0.748,03,,http://doaj.org/toc/1492-3831,34,
"Internet and Higher Education, The",1998,1096-7516,http://www.journals.elsevier.com/the-internet-and-higher-education/,Sub.,Yes,,44,2.635,x,,,35,
Internet Learning Journal,2012,2325-0585,http://www.ipsonet.org/publications/open-access/internet-learning,Open,--,,,,x,,,,
Issues and Trends in Educational Technology (ITET),,2168-1325,https://journals.uair.arizona.edu/index.php/itet,Open,--,,,,31,,,,
Issues in Informing Science and Information Technology,2004,1547-5867,http://iisit.org/,Sub.,--,,,,x,,,,
Journal of Artificial Societies and Social Simulation (JASSS),1998,1460-7425,http://jasss.soc.surrey.ac.uk/,Open,Yes,,18,1.131,x,,,,
Journal of Asynchronous Learning Networks (JALN),,1358-5363,http://olj.onlinelearningconsortium.org/,***,--,Yes,19,,11,,,,"Spring 2015: Merged with JOLT. Will be published under the renamed ""Online Learning"" journal."
Journal of Computer Assisted Learning,1985,1365-2729,http://jcal.info/,Sub.,Yes,,41,1.836,x,,,38,
Journal of Computer Information Systems,1960,0887-4417,http://www.iacis.org/jcis/jcis.php,Sub.,Yes,,24,0.801,x,,,,
Journal of Computer Science Education,,1744-5175,http://www.tandfonline.com/ncse,Sub.,--,,,,x,,,,
Journal of Computer-Mediated Communication (JCMC),1995,1083-6101,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1083-6101,Sub.,Yes,,32,4.346,x,,,36,
Journal of Computers in Mathematics and Science Teaching (JCMST),1981,0731-9258,http://www.aace.org/pubs/jcmst/,Sub.,--,,,,x,,,,
Journal of Computing in Higher Education,1989,1042-1726,http://link.springer.com/journal/12528,Sub.,Yes,,-,0.826,x,,,,
Journal of Digital Information,1997,1368-7506,http://journals.tdl.org/jodi,Sub.,--,,,,x,,,,
Journal of Digital Learning in Teacher Education (JDLTE),,1040-2454,http://www.iste.org/jdlte,Sub.,--,,,,x,,,,
Journal of Distance Education (JDE),1986,0830-0445,http://www.jofde.ca,Open,--,Yes,-,,07,,http://doaj.org/toc/0830-0445,,
Journal of e-Learning and Knowledge Society (Je-LKS),,1971-8829,http://www.je-lks.org/,Open,--,,,,43,,http://doaj.org/toc/1971-8829,,
Journal of Education and e-Learning Research,2014,2410-9991,http://www.asianonlinejournals.com/index.php/JEELR/login,Open,--,,,,x,Yes,,,
Journal of Education and Training Studies (JETS),,2324-8068,http://redfame.com/journal/index.php/jets,Open,--,,,,55,,http://doaj.org/toc/2324-8068,,
Journal of Education for Library and Information Science,2006,0748-5786,http://www.alise.org/jelis,Sub.,Yes,,12,( ),x,,,,
Journal of Educational Computing Research,1984,0735-6331,http://www.baywood.com/journals/PreviewJournals.asp?Id=0735-6331,Sub.,Yes,,22,0.858,x,,,19,
Journal of Educational Multimedia and Hypermedia,1992,1055-8896,http://www.aace.org/pubs/jemh/,Sub.,--,,,,x,,,,
Journal of Educational Technology Systems,1972,0047-2395,http://www.baywood.com/journals/previewjournals.asp?id=0047-2395,Sub.,--,,,,x,,,,
"Journal of Electronic Publishing, The",1995,1080-2711,http://www.journalofelectronicpublishing.org/,Sub.,--,,,,x,,,,
Journal of Emerging Learning Design (ELDJ),,2328-6938,http://eldj.montclair.edu,Open,--,,,,60,,,,
Journal of Engineering Education,1993,2168-9830,http://www.asee.org/papers-and-publications/publications/jee,Sub.,Yes,,32,2.801,x,,,27,
Journal of Information Systems Education,1988,1055-3096,http://jise.org,Sub.,--,,,,x,,,,
Journal of Information Technology Education (JITE),2002,1539-3585,http://jite.org/,Open,--,,,,19,,http://doaj.org/toc/1539-3585,,
"Journal of Information, Information Technology and Organizations",2006,1557-1327,http://jiito.org,Sub.,--,,,,x,,,,
Journal of Instruction Delivery Systems,,0892-4872,http://www.salt.org/salt.asp?pn=jids,Sub.,--,,,,x,,,,
Journal of Instructional Science and Technology ,1995,1324-0781,http://www.ascilite.org.au/ajet/e-jist/,Sub.,--,,,,x,,,,
Journal of Interactive Instruction Development,,1040-0370,http://www.salt.org/salt.asp?pn=jiid,Sub.,--,,,,x,,,,
Journal of Interactive Learning Research,1997,1093-023X,http://www.aace.org/pubs/jilr/,Sub.,--,,,,x,,,,
Journal of Interactive Media in Education (JIME),1996,1365-893X,http://www-jime.open.ac.uk/,Open,--,,,,25,,http://doaj.org/toc/1365-893X,,
Journal of Interactive Online Learning (JIOL),2003,1541-4914,http://www.ncolr.org/,Open,--,,,,21,,http://doaj.org/toc/1541-4914,,
Journal of Interactive Technology & Pedagogy (JiTP),,2166-6245,http://jitp.commons.gc.cuny.edu/,Open,--,,,,46,,http://doaj.org/toc/2166-6245,,
Journal of Internet Commerce,2002,1533-2861,http://www.tandfonline.com/toc/wico20/current,Sub.,--,,,,x,,,,
Journal of Issues in Informing Science and Information Technology,2004, 1547-5867,http://iisit.org/,Open,--,,,,x,,http://doaj.org/toc/1547-5867,,
Journal of Learning Design (JLD),,1832-8342,http://www.jld.qut.edu.au/,Open,--,,,,26,,http://doaj.org/toc/1832-8342,,
Journal of Literacy and Technology (JLT),,1535-0975,http://www.literacyandtechnology.org/,Open,--,,,,42,,http://doaj.org/toc/1535-0975,,
"Journal of Literacy and Technology, The",1997,1535-0975,http://www.literacyandtechnology.org/,Sub.,--,,,,x,,,,
Journal of Media Literacy Education (JMLE),,2167-8715,http://digitalcommons.uri.edu/jmle/,Open,--,,,,47,,,,
"Journal of Music, Technology and Education",2008,1752-7066,"http://www.intellectbooks.co.uk/journals/view-journal,id=152/",Sub.,--,,,,x,,,,
